name,category,price,brand,sold_by,price_category
Brilliant Crios HT #14 A3 Composite Restorative Material,Laboratories,7000.0,Coltene,Puracare,expensive
Operative Diamond Burs Fissure Low Speed RA 8,Burs,105.0,Diaswiss,Bibodent,affordable
Cawson's Essentials Of Oral Pathology And Oral Medicine,Books,315.0,unknown,Bookology,affordable
Crown Preparation Diamond Burs Tapered With Flat 16 High Speed FG,Prosthodontics Burs,105.0,Diaswiss,Bibodent,affordable
Endo Box 72 Holes,Endodontics,135.0,Generic,Tri Group Materials,affordable
Medium Endostar H Files Stainless Steel #25 - 25 mm,Endodontics,205.0,Endostar,Bibodent,affordable
Cordless Express Water Flosser WF02,Machines Oral Care System,3750.0,Waterpik,Acrostone,expensive
Crown Preparation Diamond Burs Flame Football 23 Low Speed RA,Prosthodontics Burs,135.0,Diaswiss,Bibodent,affordable
Brilliant Crios HT #14 - A1,Laboratories,7000.0,Coltene,Puracare,expensive
Grandio Bloc 14L A1,Laboratories,1300.0,Voco,Globe,expensive
Operative Diamond Burs Inverted Cone Low Speed RA 14,Burs,105.0,Diaswiss,Bibodent,affordable
Shield Activ Dentin Desensitizer,Restorative,320.0,Prevest,Cairo Dent,affordable
Amalgam Condensers - Smooth Serrated Small,Restorative,50.0,Pakistan,Bibodent,affordable
Brilliant Crios HT #14 - A2,Laboratories,7000.0,Coltene,Puracare,expensive
Brilliant Crios LT #14 - A2,Laboratories,7000.0,Coltene,Puracare,expensive
Finishing Composite Burs Safe End 12 Extra Fine Red,Restorative Burs,235.0,Diaswiss,Bibodent,affordable
Itena Titanium Drill Refill Red,Prosthodontics,450.0,Itena,TRI A,affordable
Ultramint Scaler With 6 Tips,Endodontics Periodontics Machines Hot Deals,9500.0,Eighteeth,TDS - The Dental Store,expensive
Ksk Clamps - W8A Standard,Endodontics,440.0,Dentech KSK,Bibodent,affordable
Maruchi Endoseal MTA 3 GR,Endodontics Hot Deals,4400.0,Maruchi,Bibodent,expensive
Elephant Rotary Files Refill #45-4 - 23 mm,Endodontics,500.0,Elephant,Bibodent,affordable
Crown Preparation Diamond Burs Cylinder Flat 14 High Speed FG,Prosthodontics Burs,105.0,Diaswiss,Bibodent,affordable
Amalgam Condensers - Smooth Serrated Large,Restorative,50.0,Pakistan,Bibodent,affordable
Tip ETPR,Periodontics,3500.0,Acteon,GET,expensive
Titanium I-Post 8 mm Green,Prosthodontics,345.0,Itena,TRI A,affordable
Operative Diamond Burs Double Inverted Cone High Speed FG 14,Burs,95.0,Diaswiss,Bibodent,affordable
Itena Dento Core Cartridge Mixing Tips,Disposable Material,605.0,Itena,TRI A,expensive
Operative Diamond Burs Fissure Low Speed RA 8,Burs,105.0,Diaswiss,Bibodent,affordable
Endo Box 72 Holes,Endodontics,135.0,Generic,Tri Group Materials,affordable
Crown Preparation Diamond Burs Tapered With Flat 16 High Speed FG,Prosthodontics Burs,105.0,Diaswiss,Bibodent,affordable
Medium Endostar H Files Stainless Steel #25 - 25 mm,Endodontics,205.0,Endostar,Bibodent,affordable
Cordless Express Water Flosser WF02,Machines Oral Care System,3750.0,Waterpik,Acrostone,expensive
Brilliant Crios HT #14 A3 Composite Restorative Material,Laboratories,7000.0,Coltene,Puracare,expensive
Grandio Bloc 14L A1,Laboratories,1300.0,Voco,Globe,expensive
Crown Preparation Diamond Burs Flame Football 23 Low Speed RA,Prosthodontics Burs,135.0,Diaswiss,Bibodent,affordable
Operative Diamond Burs Inverted Cone Low Speed RA 14,Burs,105.0,Diaswiss,Bibodent,affordable
Brilliant Crios HT #14 - A1,Laboratories,7000.0,Coltene,Puracare,expensive
Shield Activ Dentin Desensitizer,Restorative,320.0,Prevest,Cairo Dent,affordable
Brilliant Crios HT #14 - A2,Laboratories,7000.0,Coltene,Puracare,expensive
Brilliant Crios LT #14 - A2,Laboratories,7000.0,Coltene,Puracare,expensive
Amalgam Condensers - Smooth Serrated Small,Restorative,50.0,Pakistan,Bibodent,affordable
Itena Titanium Drill Refill Red,Prosthodontics,450.0,Itena,TRI A,affordable
Finishing Composite Burs Safe End 12 Extra Fine Red,Restorative Burs,235.0,Diaswiss,Bibodent,affordable
Cawson's Essentials Of Oral Pathology And Oral Medicine,Books,315.0,unknown,Bookology,affordable
