name,category,price,brand,sold_by
Brilliant Crios HT #14 A3 Composite Restorative Material,Laboratories,"EGP 7,000",Coltene,Puracare
Operative Diamond Burs Fissure Low Speed RA 8,Burs,EGP 105,Diaswiss,Bibodent
Cawson's Essentials Of Oral Pathology And Oral Medicine,Books,EGP 315,,Bookology
Crown Preparation Diamond Burs Tapered With Flat 16 High Speed FG,ProsthodonticsBurs,EGP 105,Diaswiss,Bibodent
Endo Box 72 Holes,Endodontics,EGP 135,Generic,Tri Group Materials
Medium Endostar H Files Stainless Steel #25 - 25 mm,Endodontics,EGP 205,Endostar,Bibodent
Cordless Express Water Flosser WF02,MachinesOral Care System,"EGP 3,750",Waterpik,Acrostone
Crown Preparation Diamond Burs Flame Football 23 Low Speed RA,ProsthodonticsBurs,EGP 135,Diaswiss,Bibodent
Brilliant Crios HT #14 - A1,Laboratories,"EGP 7,000",Coltene,Puracare
Grandio Bloc 14L A1,Laboratories,"EGP 1,300",Voco,Globe
Operative Diamond Burs Inverted Cone Low Speed RA 14,Burs,EGP 105,Diaswiss,Bibodent
Shield Activ Dentin Desensitizer,Restorative,EGP 320,Prevest,Cairo Dent
Amalgam Condensers - Smooth Serrated Small,Restorative,EGP 50,Pakistan,Bibodent
Brilliant Crios HT #14 - A2,Laboratories,"EGP 7,000",Coltene,Puracare
Brilliant Crios LT #14 - A2,Laboratories,"EGP 7,000",Coltene,Puracare
Ultramint Pro With Tank And 6 Tips,EndodonticsPeriodonticsMachinesHot Deals,,Eighteeth,TDS - The Dental Store
Finishing Composite Burs Safe End 12 Extra Fine Red,RestorativeBurs,EGP 235,Diaswiss,Bibodent
Itena Titanium Drill Refill Red,Prosthodontics,EGP 450,Itena,TRI A
Ultramint Scaler With 6 Tips,EndodonticsPeriodonticsMachinesHot Deals,"EGP 9,500",Eighteeth,TDS - The Dental Store
Ksk Clamps - W8A Standard,Endodontics,EGP 440,Dentech KSK,Bibodent
Maruchi Endoseal MTA 3 GR,EndodonticsHot Deals,"EGP 4,400",Maruchi,Bibodent
Elephant Rotary Files Refill #45-4 - 23 mm,Endodontics,EGP 500,Elephant,Bibodent
Crown Preparation Diamond Burs Cylinder Flat 14 High Speed FG,ProsthodonticsBurs,EGP 105,Diaswiss,Bibodent
Amalgam Condensers - Smooth Serrated Large,Restorative,EGP 50,Pakistan,Bibodent
Tip ETPR,Periodontics,"EGP 3,500",Acteon,GET
Opal Dam Light Cured Resin Barrier Green,RestorativeEndodonticsHot Deals,,Ultradent,Elwan Dental Supplies
Titanium I-Post 8 mm Green,Prosthodontics,EGP 345,Itena,TRI A
Operative Diamond Burs Double Inverted Cone High Speed FG 14,Burs,EGP 95,Diaswiss,Bibodent
Itena Dento Core Cartridge Mixing Tips,Disposable Material,EGP 605,Itena,TRI A
Paracore Automix Core Buildup White,Prosthodontics,,Coltene,Puracare
Polofil NHT 4 Gr A1,RestorativePedodonticsHot Deals,,Voco,Globe
name,category,price,brand,sold_by
Operative Diamond Burs Fissure Low Speed RA 8,Burs,EGP 105,Diaswiss,Bibodent
Endo Box 72 Holes,Endodontics,EGP 135,Generic,Tri Group Materials
Crown Preparation Diamond Burs Tapered With Flat 16 High Speed FG,ProsthodonticsBurs,EGP 105,Diaswiss,Bibodent
Medium Endostar H Files Stainless Steel #25 - 25 mm,Endodontics,EGP 205,Endostar,Bibodent
Cordless Express Water Flosser WF02,MachinesOral Care System,"EGP 3,750",Waterpik,Acrostone
Brilliant Crios HT #14 A3 Composite Restorative Material,Laboratories,"EGP 7,000",Coltene,Puracare
Grandio Bloc 14L A1,Laboratories,"EGP 1,300",Voco,Globe
Crown Preparation Diamond Burs Flame Football 23 Low Speed RA,ProsthodonticsBurs,EGP 135,Diaswiss,Bibodent
Operative Diamond Burs Inverted Cone Low Speed RA 14,Burs,EGP 105,Diaswiss,Bibodent
Brilliant Crios HT #14 - A1,Laboratories,"EGP 7,000",Coltene,Puracare
Shield Activ Dentin Desensitizer,Restorative,EGP 320,Prevest,Cairo Dent
Brilliant Crios HT #14 - A2,Laboratories,"EGP 7,000",Coltene,Puracare
Brilliant Crios LT #14 - A2,Laboratories,"EGP 7,000",Coltene,Puracare
Ultramint Pro With Tank And 6 Tips,EndodonticsPeriodonticsMachinesHot Deals,,Eighteeth,TDS - The Dental Store
Amalgam Condensers - Smooth Serrated Small,Restorative,EGP 50,Pakistan,Bibodent
Itena Titanium Drill Refill Red,Prosthodontics,EGP 450,Itena,TRI A
Finishing Composite Burs Safe End 12 Extra Fine Red,RestorativeBurs,EGP 235,Diaswiss,Bibodent
Cawson's Essentials Of Oral Pathology And Oral Medicine,Books,EGP 315,,Bookology
